"","SetID","P.value","N.Marker.All","N.Marker.Test"
"562","GPR89A\x3bNBPF10\x3bNBPF19\x3bNBPF20",1,1,0
"563","GPR89B\x3bNBPF19",1,3,0
"564","GPSM2",1,4,0
"565","GPX7",1,1,0
"566","GRHL3",1,6,0
"567","GRIK3",1,6,0
"568","GSTM1",1,2,0
"569","GSTM1\x3bGSTM5",1,1,0
"570","GSTM2",1,10,0
"571","GSTM3",1,2,0
"572","GSTM4",1,5,0
"573","GSTM5",1,4,0
"574","GTF2B",1,4,0
"575","H2BC18",1,1,0
"576","H2BC21",1,1,0
"577","H2BP1\x3bH3P4",1,2,0
"578","H3P4",1,2,0
"579","H3P4\x3bLINC00623\x3bLINC00869\x3bLINC01145",1,1,0
"580","H6PD",1,2,0
"581","HAO2",1,3,0
"582","HAPLN2",1,5,0
"583","HAX1",1,3,0
"584","HAX1\x3bAQP10",1,2,0
"585","HCN3",1,2,0
"586","HCRTR1",1,5,0
"587","HDAC1",1,4,0
"588","HDGF",1,3,0
"589","HECTD3",1,15,0
"590","HECTD3\x3bUROD",1,1,0
"591","HENMT1",1,4,0
"592","HES2",1,3,0
"593","HES3",1,1,0
"594","HES4",1,2,0
"595","HES5",1,2,0
"596","HEYL",1,4,0
"597","HFM1",1,4,0
"598","HHLA3",1,5,0
"599","HIPK1",1,14,0
"600","HIVEP3",1,17,0
"601","HJV",1,1,0
"602","HMGB4",1,3,0
"603","HMGCL",1,4,0
"604","HMGCS2",1,6,0
"605","HMGN2",1,1,0
"606","HNRNPCL1\x3bHNRNPCL3\x3bHNRNPCL4",1,9,0
"607","HNRNPCL2",1,7,0
"608","HNRNPR",1,5,0
"609","HOOK1",1,10,0
"610","HORMAD1",1,8,0
"611","HP1BP3",1,3,0
"612","HPCA",1,3,0
"613","HPCAL4",1,1,0
"614","HPDL",1,2,0
"615","HRNR",1,48,0
"616","HS2ST1",1,7,0
"617","HSD17B7",1,4,0
"618","HSD3B1",1,3,0
"619","HSD3B2",1,2,0
"620","HSPA6",1,2,0
"621","HSPA7",1,6,0
"622","HSPB11",1,1,0
"623","HSPB7",1,9,0
"624","HSPG2",1,66,0
"625","HSPG2\x3bCELA3B",1,1,0
"626","HSPG2\x3bLDLRAD2",1,2,0
"627","HTR1D",1,4,0
"628","HTR6",1,4,0
"629","HYI",1,2,0
"630","ICMT",1,7,0
"631","ID3",1,2,0
"632","IFFO2",1,5,0
"633","IFI16",1,2,0
"634","IFI44",1,6,0
"635","IFI44L",1,3,0
"636","IFI6",1,2,0
"637","IFNLR1",1,2,0
"638","IGSF21",1,2,0
"639","IGSF3",1,18,0
"640","IGSF8",1,5,0
"641","IGSF9",1,12,0
"642","IL12RB2",1,6,0
"643","IL22RA1",1,7,0
"644","IL23R",1,8,0
"645","IL6R",1,8,0
"646","ILDR2",1,5,0
"647","ILF2",1,7,0
"648","INKA2",1,5,0
"649","INPP5B",1,7,0
"650","INSL5",1,1,0
"651","INSRR",1,7,0
"652","INSRR\x3bNTRK1",1,3,0
"653","INTS11",1,11,0
"654","INTS3",1,18,0
"655","IPO13",1,7,0
"656","IPP",1,6,0
"657","IQCC",1,5,0
"658","IQGAP3",1,21,0
"659","ISG15",1,3,0
"660","ISG20L2",1,3,0
"661","ITGA10",1,4,0
"662","ITGA10\x3bNBPF10\x3bNBPF19\x3bNBPF20",1,7,0
"663","ITGB3BP",1,1,0
"664","ITLN1",1,5,0
"665","ITLN2",1,6,0
"666","IVL",1,5,0
"667","JAK1",1,12,0
"668","JTB",1,2,0
"669","KANK4",1,9,0
"670","KAZN",1,8,0
"671","KCNA10",1,3,0
"672","KCNA2",1,4,0
"673","KCNA3",1,4,0
"674","KCNAB2",1,16,0
"675","KCNC4",1,16,0
"676","KCND3",1,7,0
"677","KCNJ10",1,1,0
"678","KCNJ9",1,3,0
"679","KCNN3",1,8,0
"680","KCNQ4",1,13,0
"681","KDF1",1,4,0
"682","KDF1\x3bTRNP1",1,1,0
"683","KDM1A",1,9,0
"684","KDM4A",1,7,0
"685","KHDC4",1,7,0
"686","KHDRBS1",1,5,0
"687","KIAA0040",1,1,0
"688","KIAA0319L",1,14,0
"689","KIAA0754",1,8,0
"690","KIAA1107",1,11,0
"691","KIAA1324",1,9,0
"692","KIAA1522",1,11,0
"693","KIAA2013",1,4,0
"694","KIF17",1,7,0
"695","KIF1B",1,21,0
"696","KIF2C",1,6,0
"697","KIFAP3",1,9,0
"698","KIRREL1",1,9,0
"699","KLF17",1,4,0
"700","KLF18",1,24,0
"701","KLHDC7A",1,5,0
"702","KLHL17",1,15,0
"703","KLHL20",1,5,0
"704","KLHL21",1,5,0
"705","KPNA6",1,8,0
"706","KPRP",1,5,0
"707","KTI12",1,2,0
"708","KYAT3",1,4,0
"709","L1TD1",1,5,0
"710","LACTBL1",1,4,0
"711","LAMTOR5",1,3,0
"712","LAPTM5",1,1,0
"713","LCE1A",1,2,0
"714","LCE1B",1,2,0
"715","LCE1C",1,1,0
"716","LCE1D",1,5,0
"717","LCE1E",1,1,0
"718","LCE1F",1,2,0
"719","LCE2A",1,5,0
"720","LCE2B",1,2,0
"721","LCE2C",1,1,0
"722","LCE2D",1,3,0
"723","LCE3D",1,1,0
"724","LCE5A",1,4,0
"725","LCE6A",1,1,0
"726","LCK",1,9,0
"727","LDLRAD1",1,8,0
"728","LDLRAD2",1,5,0
"729","LDLRAP1",1,5,0
"730","LEPR",1,9,0
"731","LEPR\x3bLEPROT",1,1,0
"732","LEPROT",1,2,0
"733","LEXM",1,8,0
"734","LHX8",1,5,0
"735","LIN28A",1,1,0
"736","LINC01138",1,4,0
"737","LINC01140",1,2,0
"738","LINC01145",1,5,0
"739","LINC01389",1,1,0
"740","LINC01677\x3bLINC01661",1,2,0
"741","LINC01685\x3bRRAGC",1,1,0
"742","LINC01708\x3bMIR548N",1,3,0
"743","LINC01787\x3bPTBP2",1,1,0
"744","LINC02801",1,2,0
"745","LINGO4",1,3,0
"746","LIX1L",1,4,0
"747","LMNA",1,7,0
"748","LMO4",1,3,0
"749","LMX1A",1,2,0
"750","LOC100131107",1,4,0
"751","LOC100996318",1,1,0
"752","LOC100996720",1,1,0
"753","LOC100996724",1,31,0
"754","LOC100996740",1,33,0
"755","LOC101926964\x3bNFIA-AS2",1,1,0
"756","LOC101927429",1,4,0
"757","LOC101927429\x3bNBPF25P",1,1,0
"758","LOC101928118",1,1,0
"759","LOC101928120",1,1,0
"760","LOC101928404",1,1,0
"761","LOC101928977",1,1,0
"762","LOC101929099",1,1,0
"763","LOC102724562",1,6,0
